player_name,prop_type,line_value,suggestion,win_rate_3,ev_3,proj_3,win_rate_5,ev_5,proj_5,win_rate_10,ev_10,proj_10,win_rate_14,ev_14,proj_14,win_rate_28,ev_28,proj_28
Ben Sheppard,REB,2.5,OVER,95.5,34.5,3.67,77.4,16.4,3.78,58.5,-2.5,3.31,41.9,-19.1,2.52,38.2,-22.8,2.07
Jarace Walker,RA,11.5,OVER,99.5,43.9,18.02,59.6,4.0,12.46,41.6,-14.0,10.92,30.0,-25.6,9.3,18.7,-36.8,7.38
Tyrese Maxey,RA,10.5,OVER,31.9,-19.9,9.01,19.3,-32.5,7.18,45.2,-6.6,9.47,45.2,-6.7,9.8,48.9,-2.9,10.15
Andrew Nembhard,RA,9.5,OVER,33.0,-22.3,5.73,39.9,-15.3,6.23,38.3,-17.0,6.99,56.7,1.4,9.72,58.9,3.7,9.69
Kelly Oubre Jr,RA,6.5,OVER,56.4,-3.8,6.68,52.6,-7.6,7.17,63.4,3.1,7.88,52.2,-8.0,7.01,33.2,-27.0,5.21
Quentin Grimes,RA,6.5,OVER,33.8,-18.0,5.69,19.8,-32.0,3.39,31.3,-20.5,4.59,31.0,-20.9,4.3,35.6,-16.2,5.4
Tyrese Maxey,FG3M,3.5,OVER,56.9,12.2,3.33,36.1,-8.6,3.0,37.8,-6.8,3.11,33.6,-11.1,2.87,37.0,-7.6,3.02
Jarace Walker,FG3M,2.5,OVER,63.8,22.4,2.66,38.4,-2.9,1.97,19.7,-21.7,1.69,28.6,-12.7,1.94,28.1,-13.3,1.91
Kelly Oubre Jr,FG3M,1.5,OVER,66.8,2.7,2.34,60.8,-3.3,2.02,69.5,5.4,2.28,49.7,-14.4,1.78,42.6,-21.5,1.51
VJ Edgecombe,FG3M,1.5,OVER,66.8,4.3,3.35,40.2,-22.3,2.21,50.0,-12.5,2.01,42.5,-20.0,1.84,54.2,-8.3,2.13
Andrew Nembhard,FG3M,1.5,OVER,32.6,-24.9,1.31,40.5,-17.0,1.62,40.2,-17.3,1.81,43.8,-13.6,1.76,49.5,-8.0,1.74
Quentin Grimes,FG3M,1.5,OVER,99.3,45.5,2.99,59.4,5.6,1.79,49.8,-3.9,1.3,34.8,-19.0,0.92,43.8,-10.0,1.35
Ben Sheppard,FG3M,1.5,OVER,67.5,23.1,2.03,79.9,35.4,2.21,69.3,24.9,1.8,64.6,20.1,1.65,45.2,0.8,1.31
Dyson Daniels,AST,5.5,OVER,33.1,-13.7,4.32,20.3,-26.4,3.42,39.1,-7.6,4.5,50.2,3.5,5.42,57.7,11.0,6.05
Nickeil Alexander-Walker,AST,3.5,OVER,64.3,1.0,4.32,76.2,12.9,4.41,77.4,14.1,4.96,63.6,0.4,4.51,54.6,-8.7,4.2
C.J. McCollum,AST,3.5,OVER,62.3,12.3,3.35,58.0,8.0,4.04,31.0,-19.0,3.24,35.9,-14.1,3.39,43.6,-6.4,3.28
Will Riley,PTS,10.5,OVER,50.5,-4.1,9.73,31.4,-23.2,8.42,64.7,10.0,13.68,52.9,-1.8,12.14,32.7,-22.0,8.81
Jock Landale,PTS,8.5,OVER,63.9,6.4,10.04,71.2,13.7,10.22,56.3,-1.1,10.61,60.8,3.3,10.85,59.3,1.8,10.6
Jalen Johnson,PTS,23.5,OVER,59.1,8.6,24.65,36.9,-13.6,18.76,50.4,-0.1,20.83,46.7,-3.8,21.32,41.3,-9.2,20.48
Kyshawn George,PTS,10.5,OVER,32.0,-21.2,6.34,58.2,5.1,9.82,38.6,-14.6,8.51,54.2,1.0,11.41,48.8,-4.3,10.34
Bilal Coulibaly,PTS,9.5,OVER,98.9,42.4,13.99,79.0,22.5,12.4,59.0,2.5,9.89,43.0,-13.5,8.03,47.6,-8.9,8.54
Kyshawn George,PR,14.5,OVER,19.4,-32.1,7.98,44.8,-6.7,12.33,31.8,-19.8,10.72,51.8,0.2,15.4,47.1,-4.4,13.62
Jalen Johnson,PR,34.5,OVER,65.3,12.1,37.38,45.2,-8.0,29.07,56.5,3.3,30.54,57.2,4.0,32.12,43.6,-9.5,30.29
Onyeka Okongwu,PR,22.5,OVER,49.4,-5.5,22.29,36.5,-18.5,21.39,22.1,-32.9,12.76,36.6,-18.3,16.49,46.9,-8.1,20.39
Jock Landale,PR,14.5,OVER,63.0,9.8,16.36,58.0,4.9,15.85,55.2,2.0,16.71,55.0,1.8,17.14,57.2,4.0,16.98
Bilal Coulibaly,PR,13.5,OVER,94.0,39.1,17.01,64.3,9.4,15.03,49.9,-5.0,12.02,43.8,-11.2,10.71,51.2,-3.8,12.26
C.J. McCollum,PR,22.5,OVER,60.1,7.2,23.39,65.6,12.7,26.31,56.7,3.7,23.31,53.3,0.4,22.9,45.0,-7.9,20.98
C.J. McCollum,PRA,26.5,OVER,50.1,-0.4,26.67,68.2,17.7,30.38,53.6,3.1,26.49,48.6,-1.9,26.39,40.9,-9.6,24.25
Dyson Daniels,PRA,22.5,OVER,49.6,-5.9,21.01,48.6,-7.0,18.23,36.6,-18.9,18.17,40.7,-14.9,20.35,52.7,-2.8,22.78
Will Riley,PRA,17.5,OVER,34.3,-18.6,14.05,20.5,-32.5,12.41,57.9,5.0,19.85,44.6,-8.3,17.16,24.2,-28.7,13.01
Bilal Coulibaly,PRA,15.5,OVER,97.3,41.2,20.0,66.2,10.0,17.41,52.0,-4.2,14.32,47.7,-8.5,12.66,53.7,-2.5,13.93
Onyeka Okongwu,REB,7.5,OVER,65.8,12.7,7.95,39.6,-13.6,6.41,20.6,-32.6,3.84,28.0,-25.2,4.82,47.2,-6.0,6.69
Dyson Daniels,REB,6.5,OVER,81.3,28.1,8.0,48.1,-5.1,5.36,37.7,-15.5,5.25,41.5,-11.7,5.67,47.1,-6.1,6.1
Will Riley,REB,3.5,OVER,33.1,-27.1,2.32,37.5,-22.8,2.42,49.4,-10.8,3.49,41.0,-19.3,2.92,30.8,-29.4,2.6
C.J. McCollum,REB,3.5,OVER,32.9,-17.1,3.63,39.4,-10.5,3.57,46.9,-3.1,3.19,47.3,-2.7,3.33,42.2,-7.8,3.21
Jock Landale,REB,5.5,OVER,82.6,33.6,6.35,64.2,15.2,5.59,69.1,20.0,6.05,64.0,15.0,6.15,65.7,16.7,6.39
Jalen Johnson,REB,11.5,OVER,56.9,6.4,12.62,49.8,-0.7,10.11,44.5,-6.0,9.87,53.1,2.6,10.96,37.2,-13.3,9.9
Dyson Daniels,RA,11.5,OVER,37.0,-20.5,12.3,23.0,-34.5,8.89,35.6,-21.9,9.78,50.6,-6.9,11.0,59.9,2.4,12.22
Onyeka Okongwu,RA,10.5,OVER,56.7,8.2,9.97,34.7,-13.8,8.24,16.8,-31.7,4.89,23.8,-24.7,6.39,46.1,-2.5,9.33
C.J. McCollum,RA,6.5,OVER,40.9,-18.6,7.01,44.6,-14.9,7.61,34.6,-24.9,6.45,34.9,-24.6,6.8,43.9,-15.6,6.57
Nickeil Alexander-Walker,RA,7.5,OVER,41.0,-12.2,7.34,49.5,-3.7,9.18,54.0,0.8,9.04,39.5,-13.7,7.88,46.5,-6.7,7.88
C.J. McCollum,FG3M,2.5,OVER,95.6,38.1,3.33,76.7,19.3,3.2,59.0,1.5,3.01,55.8,-1.7,2.93,44.6,-12.9,2.21
